Variable / Field Name,Prefix?,Suffix?,Form Name,Field Label,"Choices, Calculations, OR Slider Labels"
participant,,,[redacted],Participant ID,"1, 2, …, 5451 (randomly recoded for this data submission)"
site,,,[redacted],Healthcare system ID,"1, 2, …, 10 (randomly recoded for this data submission)"
practice,,,[redacted],Practice ID,"1, 2, …, 86 (randomly recoded for this data submission)"
intervention,,,[from practice database],Practice assigned to intervention?,"0, No | 1, Yes"
practice_tertile,,,[from practice database],Tertile of practice size (1 is small),"N.B.: based on estimates provided by sites pre-randomization, used to constrain randomization but not reliable, do not interpret"
practice_majwhite,,,[from practice database],Majority of practice patients are white?,"0, No | 1, Yes"
practice_urban,,,[from practice database],Practice is urban?,"0, No | 1, Yes"
screendate,,,screener,"Screening Date :
Date postcard received at DCC or
Reliant clinic visit date",redacted to # of days after enrollment
fallenpastyear,,,screener,1. Have you fallen 2 or more times in the past year?,"1, Yes | 2, No | 3, Ambiguous | 8, Missing"
hurtself,,,screener,2. Have you fallen and hurt yourself in the past year?,"1, Yes | 2, No | 3, Ambiguous | 8, Missing"
afraidtofall,,,screener,3. Are you afraid that you might fall because of balance or walking problems?,"1, Yes | 2, No | 3, Ambiguous | 8, Missing"
screenoutcome,,,screener,Screening Outcome:,"1, Complete: At least one 'yes' response | 2, Complete: All responses are 'no' | 3, Error"
trk_secondary_outcomes,,,tracking_indicators,Selected for the Secondary Outcomes substudy,"0, N/A | 1, Yes | 2, No"
trk_enrolled,,,tracking_indicators,Enrolled,"0, No | 1, Yes"
trk_enroll_date,,,tracking_indicators,Enrollment date,redacted to # of days after enrollment
trk_languagepreference,,,tracking_indicators,Language Preference,"1, English | 2. Spanish"
trk_sc_status,,,tracking_indicators,Status change form: withdrawal status,"1, Intervention withdrawal | 2, Practice change | 3, Healthcare system change | 4, Medical record review only (passive participation) | 5, FULL STUDY WITHDRAWAL"
trk_statuschg_date,,,tracking_indicators,Status change form: status change date,redacted to # of days after enrollment
trk_sc_intervention_status,,,tracking_indicators,Status change form: intervention withdrawal status,"1, Intervention withdrawal | 2, Practice change | 3, Healthcare system change"
trk_sc_intervention_withd_date,,,tracking_indicators,Status change form: intervention withdrawal date,redacted to # of days after enrollment
trk_36mconsent_status,,,tracking_indicators,36-month consent status,"1, Yes (telephone and EMR) | 2, Yes (EMR only) | 3, No (full withdrawal) | 101, No, Interview Completed | 104, No, Partial Interview: Participant Refusal | 105, No, Partial Interview: Proxy Refusal | 130, No, Interview NOT completed: Participant refusal | 131, No, Interview NOT completed: Proxy refusal | 132, No, Interview NOT completed: Too Ill (terminally, prolonged illness, etc.) | 133, No, Interview NOT completed: Died, No Surrogate Interview | 134, No, Interview NOT completed: Unable to Contact within 5 attempts | 135, No, Interview NOT completed: Unable to Contact due to incorrect contact information | 137, No, Interview NOT completed: Participant requests change in participation (no longer wants to be part of study or change in follow-up) | 138, No, Interview NOT completed: Other | 801, Died, Interview Completed | 804, Died, Partial Interview: Participant Refusal | 805, Died, Partial Interview: Proxy Refusal | 830, Died, Interview NOT completed: Participant refusal | 831, Died, Interview NOT completed: Proxy refusal | 832, Died, Interview NOT completed: Too Ill (terminally, prolonged illness, etc.) | 833, Died, Interview NOT completed: Died, No Surrogate Interview | 834, Died, Interview NOT completed: Unable to Contact within 5 attempts | 835, Died, Interview NOT completed: Unable to Contact due to incorrect contact information | 837, Died, Interview NOT completed: Participant requests change in participation (no longer wants to be part of study or change in follow-up) | 838, Died, Interview NOT completed: Other, please provide details below"
trk_death,,,tracking_indicators,Death,"0, No | 1, Yes"
trk_deathdate,,,tracking_indicators,Date of Death,redacted to # of days after enrollment
callahan1,,,patient_verbal_consent,APPLE,"1, Yes | 2, No"
callahan2,,,patient_verbal_consent,TABLE,"1, Yes | 2, No"
callahan3,,,patient_verbal_consent,PENNY,"1, Yes | 2, No"
callahan4,,,patient_verbal_consent,What is the year? Correct: ,"1, Yes | 2, No"
callahan5,,,patient_verbal_consent,What is the month? Correct:,"1, Yes | 2, No"
callahan6,,,patient_verbal_consent,What is the day of the week? Correct:,"1, Yes | 2, No"
callahan7,,,patient_verbal_consent,APPLE Recall Correct: ,"1, Yes | 2, No"
callahan8,,,patient_verbal_consent,TABLE Recall Correct:,"1, Yes | 2, No"
callahan9,,,patient_verbal_consent,PENNY Recall Correct:,"1, Yes | 2, No"
callahan_score,,,patient_verbal_consent,CALCULATED SCORE = NUMBER OF ERRORS (0-6),"If([callahan4]='1',0,if([callahan4]='2',1,NaN))+ If([callahan5]='1',0,if([callahan5]='2',1,NaN))+ If([callahan6]='1',0,if([callahan6]='2',1,NaN))+ If([callahan7]='1',0,if([callahan7]='2',1,NaN))+ If([callahan8]='1',0,if([callahan8]='2',1,NaN))+ If([callahan9]='1',0,if([callahan9]='2',1,NaN))"
bl_version,,,baseline_interview,Baseline Version #,"5, 5 (interviews starting 12/15/16) | 4, 4 (interviews starting 10/28/16) | 3, 3 (interviews starting 8/19/16) | 2, 2 (interviews starting 12/10/15) | 1, 1 (interviews July 2015 to 12/9/15)"
bl_date,,,baseline_interview,Interview Date,redacted to # of days after enrollment
time_start,,,baseline_interview,Time Interview Started,
intv_type,,,baseline_interview,Type of Patient Interview,"1, Participant | 2, Surrogate"
consentedby,,,baseline_interview,Consented by:,"1, Participant | 2, Surrogate with patient assent"
calc_age,,,baseline_interview,Calculated Age,"rounddown((datediff([dob],[bl_date],""y"",""mdy"")),0)"
gender,,,baseline_interview,Are you (he/she) (Gender) :,"1, Male | 2, Female"
race,,,baseline_interview,"Do you consider yourself (himself/herself) to be:

SURROGATE: Would he/she consider himself/herself to be:","1, White | 2, Black | 3, Other | 97, Refused | 98, DK"
ethnicity,,,baseline_interview,"Do you consider yourself (himself/herself) to be:

SURROGATE: Would he/she consider himself/herself to be:","1, Hispanic/Latino | 2, Non-Hispanic/Latino | 7, Refused | 8, DK"
live_alone,,,baseline_interview,Do(es) you (he/she) currently live alone?,"1, Yes | 2, No | 7, Refused | 8, DK"
housing,,,baseline_interview,What type of housing do you (he/she) live in?,"1, Single family home | 2, Apartment/town house, not age restricted | 3, Senior housing/55+ community | 4, Assisted living | 5, Other (mobile home/boat, specify) | 7, Refused | 8, DK"
marital_status,,,baseline_interview,Are you (he/she) currently,"1, Married | 2, Never married | 3, Widowed | 4, Divorced | 5, Other | 7, Refused | 8, DK"
height,,,baseline_interview,How tall are you ( is he/she)? ,"1, Height known | 7, Refused | 8, Unknown"
height_ft,,,baseline_interview,How tall are you (he/she)? FEET,
height_in,,,baseline_interview,How tall are you (he/she)? INCHES,
weight,,,baseline_interview,What is your (his/her) current weight?,"1, Weight known | 7, Refused | 8, Unknown"
weight_lbs,,,baseline_interview,What is your (his/her) current weight? POUNDS,
education_highest,,,baseline_interview,What was the highest level of education you (he/she) attained?,"1 = 'High school graduate or less' | 2 = 'Some college or equivalent' | 3 = 'College graduate or higher' | 	97 = 'Refused' | 98 = ""Don't know"""
physical_activity,,,baseline_interview,How would you (he/she) describe your (his/her) leisure time physical activity over the past month?,"1, I did no regular physical activity | 2, I did some regular physical activity like light walking, nonstrenuous cycling or gardening approximately once a week. | 3, I regularly did physical activity like brisk walking, bicycling or sports more than one time per week. | 7, Refused | 8, DK"
srh,,,baseline_interview,"Would you (he/she) say your (his/her) health is excellent, very good, good, fair, or poor?","1, Excellent | 2, Very Good | 3, Good | 4, Fair | 5, Poor | 7, Refused | 8, DK"
medicalalert1,,,baseline_interview,Do you have a medical alert system or personal emergency button you can push if you fall and need help? Sometimes people wear them around their neck or on their wrist.,"1, Yes | 2, No | 7, Refused | 8, DK"
medicalalert1a,,,baseline_interview,"If YES, Have you had to use the system in the past 12 months (or year)?","1, Yes | 2, No | 7, Refused | 8, DK"
hypertension,,,baseline_interview,Has a doctor ever told you (him/her) that you (he/she) have high blood pressure or hypertension?,"1, Yes | 2, No | 7, Refused | 8, DK"
hypertension_meds,,,baseline_interview,Are you (he/she) currently taking any medicine for your (his/her) high blood pressure?,"1, Yes | 2, No | 7, Refused | 8, DK"
heart_condition,,,baseline_interview,"had a heart attack, or coronary, or myocardial infarction AND you (he/she) had to be hospitalized?","1, Yes | 3, Suspect or Possible | 2, No | 7, Refused | 8, DK"
heartfailure_chf,,,baseline_interview,had heart failure or congestive heart failure?,"1, Yes | 3, Suspect or Possible | 2, No | 7, Refused | 8, DK"
stroke,,,baseline_interview,had a stroke or brain hemorrhage AND had to be hospitalized?,"1, Yes | 3, Suspect or Possible | 2, No | 7, Refused | 8, DK"
cancer,,,baseline_interview,"had cancer or a malignant tumor, excluding minor skin cancers?","1, Yes | 3, Suspect or Possible | 2, No | 7, Refused | 8, DK"
diabetes,,,baseline_interview,have diabetes?,"1, Yes | 3, Suspect or Possible | 2, No | 7, Refused | 8, DK"
parkinsons,,,baseline_interview,have Parkinson's Disease?,"1, Yes | 3, Suspect or Possible | 2, No | 7, Refused | 8, DK"
lung_disease,,,baseline_interview,"have chronic lung disease such as chronic bronchitis, COPD, asthma, or emphysema?","1, Yes | 3, Suspect or Possible | 2, No | 7, Refused | 8, DK"
brkfrac_hip,,,baseline_interview,had a broken or fractured hip AND had to be hospitalized,"1, Yes | 3, Suspect or Possible | 2, No | 7, Refused | 8, DK"
brkfracturebone_age50,,,baseline_interview,"Since the age of 50, have you (he/she) ever been told by a doctor, nurse, therapist, or medical assistant that you had broken or fractured any other bones?","1, Yes | 3, Suspect or possible | 2, No | 7, Refused | 8, DK"
arthritis_rheumatism,,,baseline_interview,"During the last 12 months, have you (he/she) seen a doctor specifically for arthritis or rheumatism?","1, Yes | 3, Suspect or possible | 2, No | 7, Refused | 8, DK"
numchron,,,[computed in processing],Number of chronic conditions,(hypertension_meds=1) + (heart_condition=1) + … + (arthritis_rheumatism=1)  [possible values 0-11]
walkaid_insidehome,,,baseline_interview,"Do you (he/she) usually use a cane, walker or other device when walking inside your (his/her) home?","1, No, walks without device | 2, No, doesn't walk (i.e., uses wheelchair) | 3, Yes, cane | 4, Yes, walker | 5, Yes, Other | 7, Refused | 8, DK"
walkaid_outside,,,baseline_interview,"Do you (he/she) usually use a cane, walker or other device when walking outside your (his/her) home?","1, No, walks without device | 2, No, doesn't walk (i.e., uses wheelchair) | 3, Yes, cane | 4, Yes, walker | 5, Yes, Other | 7, Refused | 8, DK"
fallpastyear,,,baseline_interview,Have you (he/she) fallen in the past year? [LAST 12 MONTHS],"1, Yes | 2, No | 7, Refused | 8, DK"
fallpastyear_times,,,baseline_interview,How many times have you (he/she) fallen?,
fallpastyear_land,,,baseline_interview,"For any fall, did you (he/she) land on the floor, ground, or other lower level when you (he/she) fell?","1, Yes | 2, No | 7, Refused | 8, DK"
fallseff_cleaning,,,baseline_interview,cleaning the house (doing things like sweeping or dusting)? Are you (he/she):,"1, Not concerned at all | 2, Somewhat concerned | 3, Fairly concerned | 4, Very concerned | 7, Refused | 8, Don't Know"
fallseff_dress,,,baseline_interview,getting dressed or undressed? Are you (he/she):,"1, Not concerned at all | 2, Somewhat concerned | 3, Fairly concerned | 4, Very concerned | 7, Refused | 8, Don't Know"
fallseff_meals,,,baseline_interview,preparing simple meals? Are you (he/she):,"1, Not concerned at all | 2, Somewhat concerned | 3, Fairly concerned | 4, Very concerned | 7, Refused | 8, Don't Know"
fallseff_bath,,,baseline_interview,taking a bath or shower? Are you (he/she):,"1, Not concerned at all | 2, Somewhat concerned | 3, Fairly concerned | 4, Very concerned | 7, Refused | 8, Don't Know"
fallseff_shop,,,baseline_interview,doing simple shopping? Are you (he/she):,"1, Not concerned at all | 2, Somewhat concerned | 3, Fairly concerned | 4, Very concerned | 7, Refused | 8, Don't Know"
fallseff_chair,,,baseline_interview,getting in and out of a chair? Are you (he/she):,"1, Not concerned at all | 2, Somewhat concerned | 3, Fairly concerned | 4, Very concerned | 7, Refused | 8, Don't Know"
fallseff_stairs,,,baseline_interview,going up and down stairs? Are you (he/she):,"1, Not concerned at all | 2, Somewhat concerned | 3, Fairly concerned | 4, Very concerned | 7, Refused | 8, Don't Know"
fallseff_walkneighborhood,,,baseline_interview,walking around in your neighborhood? Are you (he/she):,"1, Not concerned at all | 2, Somewhat concerned | 3, Fairly concerned | 4, Very concerned | 7, Refused | 8, Don't Know"
fallseff_reachcabinet,,,baseline_interview,reaching into cabinets or closets? Are you (he/she):,"1, Not concerned at all | 2, Somewhat concerned | 3, Fairly concerned | 4, Very concerned | 7, Refused | 8, Don't Know"
fallseff_phone,,,baseline_interview,going to answer the telephone before it stops ringing? Are you (he/she):,"1, Not concerned at all | 2, Somewhat concerned | 3, Fairly concerned | 4, Very concerned | 7, Refused | 8, Don't Know"
eddep_worthless,,,baseline_interview,I felt worthless,"1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always | 7, Refused | 8, Don't Know"
eddep_lookforward,,,baseline_interview,I felt that I had nothing to look forward to,"1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always | 7, Refused | 8, Don't Know"
eddep_helpless,,,baseline_interview,I felt helpless,"1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always | 7, Refused | 8, Don't Know"
eddep_sad,,,baseline_interview,I felt sad,"1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always | 7, Refused | 8, Don't Know"
eddep_failure,,,baseline_interview,I felt like a failure,"1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always | 7, Refused | 8, Don't Know"
eddep_depressed,,,baseline_interview,I felt depressed,"1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always | 7, Refused | 8, Don't Know"
eddep_unhappy,,,baseline_interview,I felt unhappy,"1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always | 7, Refused | 8, Don't Know"
eddep_hopeless,,,baseline_interview,I felt hopeless,"1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always | 7, Refused | 8, Don't Know"
eddep_fearful,,,baseline_interview,I felt fearful,"1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always | 7, Refused | 8, Don't Know"
eddep_anxiety,,,baseline_interview,I found it hard to focus on anything other than my anxiety,"1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always | 7, Refused | 8, Don't Know"
eddep_overwhelm,,,baseline_interview,My worries overwhelmed me,"1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always | 7, Refused | 8, Don't Know"
eddep_uneasy,,,baseline_interview,I felt uneasy,"1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always | 7, Refused | 8, Don't Know"
eddep_nervous,,,baseline_interview,I felt nervous,"1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always | 7, Refused | 8, Don't Know"
eddep_helpanxiety,,,baseline_interview,I felt like I needed help for my anxiety,"1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always | 7, Refused | 8, Don't Know"
eddep_anxious,,,baseline_interview,I felt anxious,"1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always | 7, Refused | 8, Don't Know"
eddep_tense,,,baseline_interview,I felt tense,"1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always | 7, Refused | 8, Don't Know"
euroqol_mobility,,,baseline_interview,First I'd like to ask you about mobility. Would you say that:,"1, You have (He/she has) no problems walking? | 2, You have (He/she has) slight problems walking? | 3, You have (He/she has) moderate problems walking? | 4, You have (He/she has) severe problems walking? | 5, You (He/she has) are unable to walk? | 7, Refused | 8, DK"
euroqol_selfcare,,,baseline_interview,Next I'd like to ask you about (his/her) self-care. Would you say that:,"1, You have (He/she has) no problems washing or dressing yourself? | 2, You have (He/she has) slight problems washing or dressing yourself? | 3, You have (He/she has) moderate problems washing or dressing yourself? | 4, You have (He/she has) severe problems washing or dressing yourself? | 5, You (He/she has) are unable to wash or dress yourself? | 7, Refused | 8, DK"
euroqol_usualactivity,,,baseline_interview,"Next I'd like to ask you about your (his/her) usual activities, for example work, study, housework, family or leisure activities. Would you say that: ","1, You have (He/she has) no problems doing your usual activities? | 2, You have (He/she has) slight problems doing your usual activities? | 3, You have(He/she has)  moderate problems doing your usual activities? | 4, You have (He/she has) severe problems doing your usual activities? | 5, You are (He/she is) unable to do your usual activities? | 7, Refused | 8, DK"
euroqol_pain,,,baseline_interview,Next I'd like to ask you about pain or discomfort. Would you say that: ,"1, You have (He/she has) no pain or discomfort? | 2, You have (He/she has) slight pain or discomfort? | 3, You have (He/she has) moderate pain or discomfort? | 4, You have(He/she has)  severe pain or discomfort? | 5, You have (He/she has) extreme pain or discomfort? | 7, Refused | 8, DK"
euroqol_anxiety_dep,,,baseline_interview,Finally I'd like to ask you about anxiety or depression. Would you say that:,"1, You are (He/she is) not anxious or depressed? | 2, You are (He/she is) slightly anxious or depressed? | 3, You are (He/she is) moderately anxious or depressed? | 4, You are (He/she is) severely anxious or depressed? | 5, You are (He/she is) extremely anxious or depressed? | 7, Refused | 8, DK"
euroqol_eqvastask,,,baseline_interview,"[PARTICIPANT]:
Now, I would like to ask you to say how good or bad your health is TODAY.

I'd like you to try to picture in your mind a scale that looks a bit like a thermometer. Can you do that? The best health you can imagine is marked 100 (one hundred) at the top of the scale and the worst health you can imagine is marked 0 (zero) at the bottom.

I would now like you to tell me the point on this scale where you would put your health today.

[SURROGATE]:
I would like to know how good or bad you think ([screen_arm_1][trk_fullname]) would say his/her health is TODAY, if he/she were able to tell us)

I'd like you to try to picture in your mind a scale that looks a bit like a thermometer. Can you do that? The best health you can imagine is marked 100 (one hundred) at the top of the scale and the worst health you can imagine is marked 0 (zero) at the bottom.

I would now like you to tell me the point on this scale where you would put his/her health today.",
llfd_completed,,,baseline_interview,Was the Late Life Function and Disability Instrument administered? ,"1, Yes | 2, No"
llfd_disability,,,baseline_interview,LLDFI disability score ,
llfd_disability_se,,,baseline_interview,LLDFI disability standard error,
llfd_function,,,baseline_interview,LLDFI function score ,
llfd_function_se,,,baseline_interview,LLDFI function standard error,
er_pastyear,,,baseline_interview,"1. In the past year, did you (he/she) go to the emergency room for any reason?","1, Yes | 2, No | 7, Refused | 8, DK"
er_pastyear_n,,,baseline_interview,1a. How many times did you (he/she) go to the emergency room in the past year?,
hospadm_pastyear,,,baseline_interview,"1. In the past year, were you (he/she) admitted for an overnight stay, or longer, in the hospital for any reason?","1, Yes | 2, No | 7, Refused | 8, DK"
hospadm_pastyear_n,,,baseline_interview,1a. How many times were you (he/she) admitted to the hospital in the past year?,
nhconvarehab_pastyear,,,baseline_interview,"1. In the past year, have you (he/she) stayed overnight in a nursing home, convalescent home, or rehab facility?","1, Yes | 2, No | 7, Refused | 8, DK"
nhconvarehab_pastyear_n,,,baseline_interview,"1a. How many times were you (he/she) admitted to a nursing home, convalescent home, or rehab facility in the past year?",
homecare_pastyear,,,baseline_interview,"1. In the past year, have you (he/she) had a visit from a home care worker such as a visiting nurse, homemaker, home health aide, etc.?","1, Yes | 2, No | 7, Refused | 8, DK"
hc_visitingnurse,,,baseline_interview,Visiting Nurse,"1, Yes | 2, No | 7, Refused | 8, DK"
hc_pt,,,baseline_interview,Physical Therapist,"1, Yes | 2, No | 7, Refused | 8, DK"
hc_ot,,,baseline_interview,Occupational Therapist,"1, Yes | 2, No | 7, Refused | 8, DK"
hc_homeaid,,,baseline_interview,Home Health Aide,"1, Yes | 2, No | 7, Refused | 8, DK"
hc_homemaker,,,baseline_interview,Homemaker,"1, Yes | 2, No | 7, Refused | 8, DK"
hc_other,,,baseline_interview,Other,"1, Yes | 2, No | 7, Refused | 8, DK"
transportation1,,,baseline_interview,1. How do(es) you (he/she) travel to Doctor's appointments? ,"1, Drive Self | 2, Driven by family member, friend, or other | 3, Public Transportation | 4, Other | 7, Refused | 8, DK"
transportation2,,,baseline_interview,"2. When you (he/she) attend doctor appointments, does a family member or friend usually sit with you (him/her) during the visit?","1, Yes | 2, No | 7, Refused | 8, DK"
transportation2a,,,baseline_interview,[IF YES] 2a. Who attends doctor appointments with you (him/her)?,"1, Spouse | 2, Son or Daughter | 3, Niece or Nephew | 4, Grandchild | 5, Brother or Sister | 6, Friend/Neighbor | 7, Brother or Sister | 8, Other relative (please specify):"
hc1,,,baseline_interview,"1. Do you (he/she) have traditional Medicare or a Medicare Advantage plan?
[NEED TO ADD DETAILS INTERVIEWERS COULD USE IF A SUBJECT IS HAVING TROUBLE FIGURE IT OUT]","1, Traditional | 2, Advantage | 3, No | 7, Refused | 8, DK"
hc2,,,baseline_interview,"2. Part A of Medicare covers most hospital expenses. Part B covers many Doctor expenses, and the premium may be deducted from Social Security.  Are you (he/she) covered under Part B of Medicare?","1, Yes | 2, No | 7, Refused | 8, DK"
hc3,,,baseline_interview,"3. Some people have chosen a Medicare Advantage plan (for example, a Medicare HMO or PPO health plan) instead of traditional Medicare.  Are you (he/she) currently covered by a Medicare Advantage plan?","1, Yes | 2, No | 7, Refused | 8, DK"
hc4,,,baseline_interview,4. Are you (he/she) covered by your (his/her) State's medical assistance (Medicaid) program?  This is also called Title 19.,"1, Yes | 2, No | 7, Refused | 8, DK"
hc5,,,baseline_interview,5. Are you (he/she) covered by any other public assistance program that pays for Medical Care?,"1, Yes | 2, No | 7, Refused | 8, DK"
hc6,,,baseline_interview,"6. Not counting Medicare and the other programs we just talked about, do you (he/she) have any other health insurance or medical insurance that pays for hospital or doctor bills, such as VA or Medi-gap, or a Medicare Supplemental?","1, Yes | 2, No | 7, Refused | 8, DK"
finances,,,baseline_interview,How difficult is it for you (his/her) / (your family) to meet monthly payments on your (his/her) (your family's) bills?,"1, Not at all difficult | 2, Not very difficult | 3, Somewhat difficult | 4, Very difficult | 5, Completely difficult | 7, Refused | 8, DK"
