Variable / Field Name,Prefix?,Suffix?,Form Name,Field Label,"Choices, Calculations, OR Slider Labels"
pe_footexam_numbness,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,numbness,1 = 'Yes' | 2 = 'No'
pe_footexam_ulcer,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,ulcer,1 = 'Yes' | 2 = 'No'
pe_footexam_bunionht,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,bunion or hammertoe,1 = 'Yes' | 2 = 'No'
pe_footexam_corncalluses,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,corn or calluses,1 = 'Yes' | 2 = 'No'
pe_footexam_nailabnormal,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,nail abnormalities,1 = 'Yes' | 2 = 'No'
pe_footwear,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Footwear,1 = 'No concerns' | 2 = 'Footwear concerns' | 9 = 'Not assessed'
pe_snellen,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Snellen Eye Exam,
rfc_medication,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Medication Risk Factor,"1 = 'No Medication Risk'
2 = 'Medication Risk Factor FRIDs'
3 = 'Medication Risk Factor Symptoms'
4 = 'Medication Risk Factor Symptoms, FRIDs'
5 = 'Medication Risk Factor Adherence'
6 = 'Medication Risk Factor Adherence, FRIDs'
7 = 'Medication Risk Factor Adherence, Symptoms'
8 = 'Medication Risk Factor Adherence, Symptoms, FRIDs'
9 = 'Medication Risk Factor Alcohol'
10 = 'Medication Risk Factor Alcohol, FRIDs'
11 = 'Medication Risk Factor Alcohol, Symptoms'
12 = 'Medication Risk Factor Alcohol, Symptoms, FRIDs'
13 = 'Medication Risk Factor Alcohol, Adherence'
14 = 'Medication Risk Factor Alcohol, Adherence, FRIDs'
15 = 'Medication Risk Factor Alcohol, Adherence, Symptoms'
16 = 'Medication Risk Factor Alcohol, Adherence, Symptoms, FRIDs'
20 = 'Unable to determine (missing data)'"
rfc_p_medication,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Medication Risk Factor Priority,1 = 'None' | 2 = 'Not Priority' | 3 = 'Priority'
rfc_med_rx_a,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Medication Action A,"1 = 'None'
2 = 'Refer to Pharmacist'
3 = 'Refer to Site Clinical Director'
4 = 'Refer to PCP'
5 = 'Provide general medication handout'
6 = 'Discuss adherence concerns'
7 = 'Discuss medications patient may want to modify'
8 = 'Pharm D review previously done'
9 = 'No change in medication'"
rfc_med_rx_b,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Medication Action B,"1 = 'None'
2 = 'Refer to Pharmacist'
3 = 'Refer to Site Clinical Director'
4 = 'Refer to PCP'
5 = 'Provide general medication handout'
6 = 'Discuss adherence concerns'
7 = 'Discuss medications patient may want to modify'
8 = 'Pharm D review previously done'
9 = 'No change in medication'"
rfc_med_rx_c,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Medication Action C,"1 = 'None'
2 = 'Refer to Pharmacist'
3 = 'Refer to Site Clinical Director'
4 = 'Refer to PCP'
5 = 'Provide general medication handout'
6 = 'Discuss adherence concerns'
7 = 'Discuss medications patient may want to modify'
8 = 'Pharm D review previously done'
9 = 'No change in medication'"
rfc_sgb,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,"Strength,gait,balance Risk Factor","1 = 'Minimal mobility problem (CBE)'
2 = 'Minimal mobility problem (Outpatient PT)'
3 = 'Minimal mobility problem (Outpatient PT or CBE)'
4 = 'Minimal mobility problem, pain limits function (Outpatient PT)'
5 = 'Moderate mobility problem (Home or Outpatient PT)'
6 = 'Moderate mobility problem (Home or Outpatient PT or CBE)'
7 = 'Severe mobility problem (Home or Outpatient PT)'
20 = 'Unable to determine (missing data)'"
rfc_p_sgb,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,"Strength, gait, balance Risk Factor Priority",1 = 'None' | 2 = 'Not Priority' | 3 = 'Priority'
rfc_exercise_rx_a,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Exercise Action A,"1 = 'None'
2 = 'CBE'
3 = 'Outpatient PT'
4 = 'Home Health PT'
5 = 'Home Exercises'
6 = 'Other (i.e. Yoga, Personal Trainer)'"
rfc_exercise_rx_b,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Exercise Action B,"1 = 'None'
2 = 'CBE'
3 = 'Outpatient PT'
4 = 'Home Health PT'
5 = 'Home Exercises'
6 = 'Other (i.e. Yoga, Personal Trainer)'"
rfc_exercise_rx_c,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Exercise Action C,"1 = 'None'
2 = 'CBE'
3 = 'Outpatient PT'
4 = 'Home Health PT'
5 = 'Home Exercises'
6 = 'Other (i.e. Yoga, Personal Trainer)'"
rfc_posthypotension,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Postural Hypotension Risk Factor,"1 = 'None'
2 = 'Symptoms but no Change in BP'
3 = 'Change in  BP but no Symptoms'
4 = 'Symptoms and Change in BP'
20 = 'Unable to determine (missing data)'"
rfc_p_posthypotension,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Postural Hypotension Risk Factor Priority,1 = 'None' | 2 = 'Not Priority' | 3 = 'Priority'
rfc_pos_rx_a,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,POS Action A,"1 = 'None'
2 = 'Education about behavior changes'
3 = 'Recheck BP in 2 weeks'
4 = 'Electronic note to PCP'
5 = 'PCP notified immediately'
6 = 'Known diagnosis.  Education material reviewed'"
rfc_pos_rx_b,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,POS Action B,"1 = 'None'
2 = 'Education about behavior changes'
3 = 'Recheck BP in 2 weeks'
4 = 'Electronic note to PCP'
5 = 'PCP notified immediately'
6 = 'Known diagnosis.  Education material reviewed'"
rfc_pos_rx_c,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,POS Action C,"1 = 'None'
2 = 'Education about behavior changes'
3 = 'Recheck BP in 2 weeks'
4 = 'Electronic note to PCP'
5 = 'PCP notified immediately'
6 = 'Known diagnosis.  Education material reviewed'"
rfc_feet,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Feet Risk Factor,"1 = 'No Risk'
2 = 'Risk, Feet'
3 = 'Risk, Footwear'
4 = 'Risk, Feet and Footwear'
20 = 'Unable to determine (missing data)'"
rfc_p_feet,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Feet Risk Factor Priority,1 = 'None' | 2 = 'Not Priority' | 3 = 'Priority'
rfc_feet_rx_a,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Feet Action A,"1 = 'None'
2 = 'Referred  to PCP'
3 = 'Suggest eval for PN'
4 = 'Eval & treatment by PT'
5 = 'Podiatrist'
6 = 'Identified safer footwear'
7 = 'Orthotist'
8 = 'Getting regular nail care by podiatrist or thru pedicures.'"
rfc_feet_rx_b,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Feet Action B,"1 = 'None'
2 = 'Referred  to PCP'
3 = 'Suggest eval for PN'
4 = 'Eval & treatment by PT'
5 = 'Podiatrist'
6 = 'Identified safer footwear'
7 = 'Orthotist'
8 = 'Getting regular nail care by podiatrist or thru pedicures.'"
rfc_feet_rx_c,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Feet Action C,"1 = 'None'
2 = 'Referred  to PCP'
3 = 'Suggest eval for PN'
4 = 'Eval & treatment by PT'
5 = 'Podiatrist'
6 = 'Identified safer footwear'
7 = 'Orthotist'
8 = 'Getting regular nail care by podiatrist or thru pedicures.'"
rfc_osteoporosis,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Osteoporosis Risk Factor,"1 = 'Normal: Not at risk'
2 = 'Osteoporosis: On treatment less than 5 years'
3 = 'Osteoporosis: On treatment 5+ years. Consider treatment holiday.'
4 = 'Osteoporosis: Positive fragility fracture'
5 = 'Osteoporosis: Positive BMD'
6 = 'Osteoporosis: On treatment holiday'
7 = 'Osteopenia: Low risk FRAX score'
8 = 'Osteopenia: High risk FRAX score'
9 = 'Low risk FRAX score'
10 = 'High risk FRAX score'
20 = 'Unable to determine (missing data)'"
rfc_p_osteoporosis,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Osteoporosis Risk Factor Priority,1 = 'None' | 2 = 'Not Priority' | 3 = 'Priority'
rfc_ost_rx_a,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Osteoporosis Action A,"1 = 'None'
2 = 'Start 1200mg Calcium Supplement (tablet or diet) or equivalent'
3 = 'Continue 1200mg Calcium Supplement (tablet or diet) or equivalent'
4 = 'Stop treatment temporarily (Drug holiday)'
5 = 'Referred to PCP for eval & treatment (e.g., Bisphosphonate)'
6 = 'Education'"
rfc_ost_rx_b,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Osteoporosis Action B,"1 = 'None'
2 = 'Start 1200mg Calcium Supplement (tablet or diet) or equivalent'
3 = 'Continue 1200mg Calcium Supplement (tablet or diet) or equivalent'
4 = 'Stop treatment temporarily (Drug holiday)'
5 = 'Referred to PCP for eval & treatment (e.g., Bisphosphonate)'
6 = 'Education'"
rfc_ost_rx_c,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Osteoporosis Action C,"1 = 'None'
2 = 'Start 1200mg Calcium Supplement (tablet or diet) or equivalent'
3 = 'Continue 1200mg Calcium Supplement (tablet or diet) or equivalent'
4 = 'Stop treatment temporarily (Drug holiday)'
5 = 'Referred to PCP for eval & treatment (e.g., Bisphosphonate)'
6 = 'Education'"
rfc_vitamind,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Vitamin D Risk Factor,"1 = 'None'
2 = 'None, supplement more than recommended'
3 = 'Vitamin D Insufficient Dose'
4 = 'Vitamin D no Supplement'
20 = 'Unable to determine (missing data)'"
rfc_p_vitamind,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Vitamin D Risk Factor Priority,1 = 'None' | 2 = 'Not Priority' | 3 = 'Priority'
rfc_vid_rx_a,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Vitamin D Action A,"1 = 'None'
2 = 'Reinforced OP recommendations'
3 = 'Start or continue Vitamin D 800-1,000 IU'
4 = 'Other'"
rfc_vid_rx_b,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Vitamin D Action B,"1 = 'None'
2 = 'Reinforced OP recommendations'
3 = 'Start or continue Vitamin D 800-1,000 IU'
4 = 'Other'"
rfc_vid_rx_c,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Vitamin D Action C,"1 = 'None'
2 = 'Reinforced OP recommendations'
3 = 'Start or continue Vitamin D 800-1,000 IU'
4 = 'Other'"
rfc_vision,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Vision Risk Factor,"1 = 'None'
2 = 'Vision Risk'
20 = 'Unable to determine (missing data)'"
rfc_p_vision,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Vision Risk Factor Priority,1 = 'None' | 2 = 'Not Priority' | 3 = 'Priority'
rfc_vsn_rx_a,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Vision Action A,"1 = 'None'
2 = 'Home safety assessment'
3 = 'Referred to eye doctor'
4 = 'Education about cataract surgery'
5 = 'Annual Eye Doctor'
6 = 'Current with eye exams'"
rfc_vsn_rx_b,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Vision Action B,"1 = 'None'
2 = 'Home safety assessment'
3 = 'Referred to eye doctor'
4 = 'Education about cataract surgery'
5 = 'Annual Eye Doctor'
6 = 'Current with eye exams'"
rfc_vsn_rx_c,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Vision Action C,"1 = 'None'
2 = 'Home safety assessment'
3 = 'Referred to eye doctor'
4 = 'Education about cataract surgery'
5 = 'Annual Eye Doctor'
6 = 'Current with eye exams'"
rfc_homesafety,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Home Safety Risk Factor,"1 = 'None'
2 = 'In Home Assessment'
3 = 'In Home Assessment Homebound'
20 = 'Unable to determine (missing data)'"
rfc_p_homesafety,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Home Safety Risk Factor Priority,1 = 'None' | 2 = 'Not Priority' | 3 = 'Priority'
rfc_home_rx_a,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Home Safety Action A,"1 = 'None'
2 = 'Home Safety Assessment via Home Care Agency'
3 = 'Home Safety Assessment via OT'
4 = 'Patient Led Safety Changes'
5 = 'Other'"
rfc_home_rx_b,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Home Safety Action B,"1 = 'None'
2 = 'Home Safety Assessment via Home Care Agency'
3 = 'Home Safety Assessment via OT'
4 = 'Patient Led Safety Changes'
5 = 'Other'"
rfc_home_rx_c,"v#_ (# = 0,6,12,24,36,ah)",,stride_fcm_assessments,Home Safety Action C,"1 = 'None'
2 = 'Home Safety Assessment via Home Care Agency'
3 = 'Home Safety Assessment via OT'
4 = 'Patient Led Safety Changes'
5 = 'Other'"
meds_complete,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Medication assessment completed?,"0, No | 1, Yes"
meds_pos,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Positive for Medication risk?,"0, No | 1, Yes  [rfc_medication in 2:16]"
meds_priority,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Medication risk prioritized?,"0, No | 1, Yes"
meds_prec,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],# Medication patient actions recommended at baseline assessment,
meds_pact1,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Patient agreed to Medication action 1 (Visit with pharmacist)?,"0, No | 1, Yes"
meds_pact2,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Patient agreed to Medication action 2 (Allow Site Clinical Director to review medication)?,"0, No | 1, Yes"
meds_pact3,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Patient agreed to Medication action 3 (Visit with PCP for medication review)?,"0, No | 1, Yes"
meds_nrec,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],# Medication nurse/FCM actions taken at baseline assessment,
meds_nact1,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Nurse/FCM took Medication action 1 (Provide handout about fall risk including mediations)?,"0, No | 1, Yes"
meds_nact2,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Nurse/FCM took Medication action 2 (Discuss adherence challenges)?,"0, No | 1, Yes"
meds_nact3,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Nurse/FCM took Medication action 3 (Discuss medications patient may want to modify)?,"0, No | 1, Yes"
sgb_complete,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Strength/Gait/Balance assessment completed?,"0, No | 1, Yes"
sgb_pos,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Positive for Strength/Gait/Balance risk?,"0, No | 1, Yes  [rfc_sgb in 1:7]"
sgb_priority,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Strength/Gait/Balance risk prioritized?,"0, No | 1, Yes"
sgb_prec,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],# Strength/Gait/Balance patient actions recommended at baseline assessment,
sgb_pact1,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Patient agreed to Strength/Gait/Balance action 1 (Community-based exercise)?,"0, No | 1, Yes"
sgb_pact2,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Patient agreed to Strength/Gait/Balance action 2 (Physical therapy)?,"0, No | 1, Yes"
sgb_pact3,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Patient agreed to Strength/Gait/Balance action 3 (Home exercise)?,"0, No | 1, Yes"
sgb_pact4,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],"Patient agreed to Strength/Gait/Balance action 4 (Other (e.g., yoga, personal trainer))?","0, No | 1, Yes"
posthyp_complete,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Postural Hypotension assessment completed?,"0, No | 1, Yes"
posthyp_pos,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Positive for Postural Hypotension risk?,"0, No | 1, Yes  [rfc_posthypotension in 2:4]"
posthyp_priority,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Postural Hypotension risk prioritized?,"0, No | 1, Yes"
posthyp_prec,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],# Postural Hypotension patient actions recommended at baseline assessment,
posthyp_pact1,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Patient agreed to Postural Hypotension action 1 (Receive education about behavior changes to reduce PH)?,"0, No | 1, Yes"
posthyp_pact2,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Patient agreed to Postural Hypotension action 2 (Recheck blood pressure in two weeks)?,"0, No | 1, Yes"
posthyp_pact3,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Patient agreed to Postural Hypotension action 3 (Visit with PCP for postural hypotension management)?,"0, No | 1, Yes"
posthyp_nrec,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],# Postural Hypotension nurse/FCM actions taken at baseline assessment,
posthyp_nact1,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Nurse/FCM took Postural Hypotension action 1 (Discuss diagnosis and management strategies)?,"0, No | 1, Yes"
feet_complete,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Feet assessment completed?,"0, No | 1, Yes"
feet_pos,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Positive for Feet risk?,"0, No | 1, Yes  [rfc_feet in 2:4]"
feet_priority,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Feet risk prioritized?,"0, No | 1, Yes"
feet_prec,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],# Feet patient actions recommended at baseline assessment,
feet_pact1,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Patient agreed to Feet action 1 (Visit with PCP for foot evaluation and treatment)?,"0, No | 1, Yes"
feet_pact2,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Patient agreed to Feet action 2 (Physical therapy)?,"0, No | 1, Yes"
feet_pact3,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Patient agreed to Feet action 3 (Visit with podiatrist)?,"0, No | 1, Yes"
feet_pact4,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Patient agreed to Feet action 4 (Identify safer footwear)?,"0, No | 1, Yes"
feet_pact5,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Patient agreed to Feet action 5 (Visit with orthotist)?,"0, No | 1, Yes"
feet_nrec,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],# Feet nurse/FCM actions taken at baseline assessment,
feet_nact1,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Nurse/FCM took Feet action 1 (Provide information about peripheral neuropathy referrals)?,"0, No | 1, Yes"
feet_nact2,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Nurse/FCM took Feet action 2 (Reinforce benefits of continuing regular nail care via podiatrist or pedicures)?,"0, No | 1, Yes"
osteo_complete,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Osteoporosis assessment completed?,"0, No | 1, Yes"
osteo_pos,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Positive for Osteoporosis risk?,"0, No | 1, Yes  [rfc_osteoporosis in 2:4]"
osteo_priority,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Osteoporosis risk prioritized?,"0, No | 1, Yes"
osteo_prec,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],# Osteoporosis patient actions recommended at baseline assessment,
osteo_pact1,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Patient agreed to Osteoporosis action 1 (Start calcium supplment)?,"0, No | 1, Yes"
osteo_pact2,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Patient agreed to Osteoporosis action 2 (Stop treatment temporarily (drug holiday))?,"0, No | 1, Yes"
osteo_pact3,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Patient agreed to Osteoporosis action 3 (Visit with PCP for evaluation and treatment of OP)?,"0, No | 1, Yes"
osteo_nrec,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],# Osteoporosis nurse/FCM actions taken at baseline assessment,
osteo_nact1,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Nurse/FCM took Osteoporosis action 1 (Reinforce benefits of continuing current OP management)?,"0, No | 1, Yes"
osteo_nact2,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Nurse/FCM took Osteoporosis action 2 (Provide education about OP and management)?,"0, No | 1, Yes"
vitd_complete,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Vitamin D assessment completed?,"0, No | 1, Yes"
vitd_pos,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Positive for Vitamin D risk?,"0, No | 1, Yes  [rfc_vitamind in 3:4]"
vitd_priority,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Vitamin D risk prioritized?,"0, No | 1, Yes"
vitd_prec,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],# Vitamin D patient actions recommended at baseline assessment,
vitd_pact1,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Patient agreed to Vitamin D action 1 (Reinforce benefits of continuing dietary supplement)?,"0, No | 1, Yes"
vitd_nrec,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],# Vitamin D nurse/FCM actions taken at baseline assessment,
vitd_nact1,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Nurse/FCM took Vitamin D action 1 (Start Vitamin D supplement)?,"0, No | 1, Yes"
ovd_complete,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Osteoporosis or vitamin D assessment completed?,"0, No | 1, Yes"
ovd_pos,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Positive for Osteoporosis or vitamin D risk?,"0, No | 1, Yes"
ovd_priority,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Osteoporosis or vitamin D risk prioritized?,"0, No | 1, Yes"
ovd_prec,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],# Osteoporosis or vitamin D patient actions recommended at baseline assessment,
ovd_pact1,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Patient agreed to Osteoporosis or vitamin D action 1 (Start dietary supplement)?,"0, No | 1, Yes"
ovd_pact2,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Patient agreed to Osteoporosis or vitamin D action 2 (Stop treatment temporarily (drug holiday))?,"0, No | 1, Yes"
ovd_pact3,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Patient agreed to Osteoporosis or vitamin D action 3 (Visit with PCP for evaluation and treatment of OP)?,"0, No | 1, Yes"
ovd_nrec,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],# Osteoporosis or vitamin D nurse/FCM actions taken at baseline assessment,
ovd_nact1,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Nurse/FCM took Osteoporosis or vitamin D action 1 (Reinforce benefits of continuing dietary supplement)?,"0, No | 1, Yes"
ovd_nact2,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Nurse/FCM took Osteoporosis or vitamin D action 2 (Provide education about OP and management)?,"0, No | 1, Yes"
ovd_nact3,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Nurse/FCM took Osteoporosis or vitamin D action 3 (Reinforce benefits of continuing current OP management)?,"0, No | 1, Yes"
vision_complete,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Vision assessment completed?,"0, No | 1, Yes"
vision_pos,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Positive for Vision risk?,"0, No | 1, Yes  [rfc_vision = 2]"
vision_priority,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Vision risk prioritized?,"0, No | 1, Yes"
vision_prec,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],# Vision patient actions recommended at baseline assessment,
vision_pact1,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Patient agreed to Vision action 1 (Receive a home safety assessmnt)?,"0, No | 1, Yes"
vision_pact2,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],"Patient agreed to Vision action 2 (Visit eye doctor about a specific problem (e.g., cataracts))?","0, No | 1, Yes"
vision_pact3,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Patient agreed to Vision action 3 (Establish annual visits with eye doctor)?,"0, No | 1, Yes"
vision_nrec,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],# Vision nurse/FCM actions taken at baseline assessment,
vision_nact1,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Nurse/FCM took Vision action 1 (Provide education about cataract surgery)?,"0, No | 1, Yes"
vision_nact2,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Nurse/FCM took Vision action 2 (Reinforce benefits of continuing annual eye exams)?,"0, No | 1, Yes"
home_complete,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Home Safety assessment completed?,"0, No | 1, Yes"
home_pos,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Positive for Home Safety risk?,"0, No | 1, Yes  [rfc_homesafety in 2:3]"
home_priority,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Home Safety risk prioritized?,"0, No | 1, Yes"
home_prec,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],# Home Safety patient actions recommended at baseline assessment,
home_pact1,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Patient agreed to Home Safety action 1 (Receive a home safety assessment)?,"0, No | 1, Yes"
home_pact2,,"_v# (# = 0,6,12,24,36,ah)",[computed in processing],Patient agreed to Home Safety action 2 (Self-lead home safety changes)?,"0, No | 1, Yes"
adjevent,,,[computed in processing],Participant had a confirmed outcome?,"0, No | 1, Yes"
adjevent_time2first,,,[computed in processing],Time (in years) to first confirmed outcome,
adjevent_count,,,[computed in processing],Number of confirmed outcomes,